data,tipo,categoria,descricao,valor
2024-01-10 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-01-12 10:00:00,gasto,Fornecedores,Pagamento fornecedor A,3800.00
2024-01-15 16:30:00,ganho,Venda de Produtos,Venda de produtos,9500.00
2024-01-20 11:00:00,ganho,Prestação de Serviço,Prestação de serviço B,5200.00
2024-01-25 14:00:00,gasto,Marketing/Vendas,Marketing e publicidade,1250.00
2024-01-31 09:00:00,gasto,Salários/RH,Salários funcionários,12500.00
2024-02-02 17:00:00,gasto,Infraestrutura,Conta de luz e internet,880.00
2024-02-08 10:00:00,ganho,Venda de Produtos,Venda de produtos,6300.00
2024-02-14 11:30:00,gasto,Despesas Operacionais,Material de escritório,450.70
2024-02-18 09:00:00,gasto,Fornecedores,Pagamento fornecedor C,2100.00
2024-02-22 14:00:00,ganho,Prestação de Serviço,Serviço de consultoria,4000.00
2024-02-28 09:00:00,gasto,Salários/RH,Salários funcionários,12500.00
2024-03-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-03-07 16:00:00,gasto,Marketing/Vendas,Campanha Google Ads,800.00
2024-03-11 10:00:00,ganho,Venda de Produtos,Venda de produtos,11500.00
2024-03-15 09:30:00,gasto,Fornecedores,Pagamento fornecedor B,3250.00
2024-03-20 13:00:00,ganho,Prestação de Serviço,Prestação de serviço A,6800.00
2024-03-25 17:00:00,gasto,Despesas Operacionais,Manutenção de equipamentos,750.00
2024-03-31 09:00:00,gasto,Salários/RH,Salários funcionários,12500.00
2024-04-03 11:00:00,gasto,Infraestrutura,Conta de água,350.00
2024-04-09 14:00:00,ganho,Venda de Produtos,Venda de produtos,8900.00
2024-04-12 10:00:00,gasto,Fornecedores,Pagamento fornecedor A,3800.00
2024-04-18 16:00:00,ganho,Prestação de Serviço,Serviço de desenvolvimento,15000.00
2024-04-24 09:00:00,gasto,Marketing/Vendas,Patrocínio de evento,2000.00
2024-04-30 09:00:00,gasto,Salários/RH,Salários funcionários,13000.00
2024-05-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-05-08 10:30:00,gasto,Fornecedores,Compra de matéria-prima,5500.00
2024-05-14 11:00:00,ganho,Venda de Produtos,Venda de produtos,12800.00
2024-05-19 15:00:00,gasto,Despesas Operacionais,Transportadora,980.00
2024-05-23 10:00:00,ganho,Prestação de Serviço,Prestação de serviço C,4500.00
2024-05-28 17:00:00,gasto,Impostos,Impostos trimestrais,4200.00
2024-05-31 09:00:00,gasto,Salários/RH,Salários funcionários,13000.00
2024-06-04 14:00:00,gasto,Despesas Operacionais,Serviços de contabilidade,1200.00
2024-06-10 16:00:00,ganho,Venda de Produtos,Venda de produtos,9200.00
2024-06-13 11:00:00,gasto,Fornecedores,Pagamento fornecedor B,3250.00
2024-06-18 10:00:00,ganho,Prestação de Serviço,Serviço de manutenção,3000.00
2024-06-25 13:00:00,gasto,Salários/RH,Treinamento de equipe,1500.00
2024-06-30 09:00:00,gasto,Salários/RH,Salários funcionários,13000.00
2024-07-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-07-09 10:00:00,gasto,Fornecedores,Pagamento fornecedor C,2100.00
2024-07-15 11:30:00,ganho,Venda de Produtos,Venda de produtos,14000.00
2024-07-20 14:00:00,ganho,Prestação de Serviço,Prestação de serviço A,7200.00
2024-07-26 16:00:00,gasto,Despesas Operacionais,Software e licenças,890.00
2024-07-31 09:00:00,gasto,Salários/RH,Salários funcionários,13000.00
2024-08-02 17:00:00,gasto,Infraestrutura,Conta de telefone,420.00
2024-08-08 10:00:00,ganho,Venda de Produtos,Venda de produtos,11200.00
2024-08-12 11:00:00,gasto,Fornecedores,Pagamento fornecedor A,3800.00
2024-08-18 15:00:00,ganho,Prestação de Serviço,Serviço de consultoria,5500.00
2024-08-24 10:00:00,gasto,Marketing/Vendas,Marketing digital,1800.00
2024-08-31 09:00:00,gasto,Salários/RH,Salários funcionários,13500.00
2024-09-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-09-09 14:00:00,gasto,Despesas Operacionais,Compra de equipamentos,4500.00
2024-09-15 16:00:00,ganho,Venda de Produtos,Venda de produtos,16500.00
2024-09-20 10:00:00,gasto,Fornecedores,Pagamento fornecedor B,3250.00
2024-09-26 11:00:00,ganho,Prestação de Serviço,Prestação de serviço B,6000.00
2024-09-30 09:00:00,gasto,Salários/RH,Salários funcionários,13500.00
2024-10-03 17:00:00,gasto,Despesas Operacionais,Despesas de viagem,1300.00
2024-10-07 10:00:00,ganho,Venda de Produtos,Venda de produtos,9800.00
2024-10-11 11:00:00,gasto,Fornecedores,Pagamento fornecedor C,2100.00
2024-10-17 14:00:00,ganho,Prestação de Serviço,Serviço de desenvolvimento,18000.00
2024-10-23 10:00:00,gasto,Marketing/Vendas,Feira de negócios,2500.00
2024-10-31 09:00:00,gasto,Salários/RH,Salários funcionários,13500.00
2024-11-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2500.00
2024-11-08 10:00:00,gasto,Salários/RH,Bônus de fim de ano,5000.00
2024-11-14 11:00:00,ganho,Venda de Produtos,Venda de produtos,13200.00
2024-11-19 15:00:00,gasto,Fornecedores,Pagamento fornecedor A,3800.00
2024-11-24 10:00:00,ganho,Prestação de Serviço,Prestação de serviço A,8000.00
2024-11-30 09:00:00,gasto,Salários/RH,Salários funcionários,13500.00
2024-12-03 17:00:00,gasto,Despesas Operacionais,Confraternização da empresa,1800.00
2024-12-09 10:00:00,ganho,Venda de Produtos,Venda de produtos de Natal,22000.00
2024-12-12 11:00:00,gasto,Impostos,Impostos de fim de ano,6800.00
2024-12-18 14:00:00,ganho,Prestação de Serviço,Serviço de consultoria,6500.00
2024-12-20 10:00:00,gasto,Salários/RH,13º Salário,13500.00
2025-01-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2600.00
2025-01-10 10:00:00,ganho,Venda de Produtos,Venda de produtos,11000.00
2025-01-15 11:00:00,gasto,Fornecedores,Pagamento fornecedor B,3400.00
2025-01-20 14:00:00,ganho,Prestação de Serviço,Prestação de serviço B,5800.00
2025-01-25 10:00:00,gasto,Marketing/Vendas,Marketing 2025,2000.00
2025-01-31 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
2025-02-03 17:00:00,gasto,Infraestrutura,Contas de início de ano,1100.00
2025-02-09 10:00:00,ganho,Venda de Produtos,Venda de produtos,9500.00
2025-02-13 11:00:00,gasto,Despesas Operacionais,Renovação de licenças,1200.00
2025-02-19 14:00:00,ganho,Prestação de Serviço,Serviço de manutenção,3500.00
2025-02-28 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
2025-03-05 15:00:00,gasto,Infraestrutura,Aluguel do escritório,2600.00
2025-03-10 10:00:00,gasto,Fornecedores,Pagamento fornecedor C,2300.00
2025-03-15 11:00:00,ganho,Venda de Produtos,Venda de produtos,13500.00
2025-03-20 14:00:00,ganho,Prestação de Serviço,Prestação de serviço A,7800.00
2025-03-25 10:00:00,gasto,Fornecedores,Compra de insumos,4800.00
2025-03-31 09:00:00,gasto,Salários/RH,Salários funcionários,14000.00
